'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:08.333',-0.031,-0.103,-0.072,0.067,0.020,-0.088,0.019,-0.181,-0.238,-0.200,-0.137,-0.100
'0:08.334',-0.034,-0.103,-0.069,0.069,0.017,-0.086,0.019,-0.181,-0.238,-0.200,-0.134,-0.100
'0:08.335',-0.034,-0.103,-0.069,0.069,0.017,-0.086,0.019,-0.175,-0.238,-0.200,-0.131,-0.094
'0:08.336',-0.041,-0.101,-0.061,0.071,0.010,-0.081,0.019,-0.175,-0.241,-0.191,-0.131,-0.094
'0:08.337',-0.044,-0.103,-0.059,0.074,0.008,-0.081,0.019,-0.175,-0.244,-0.188,-0.131,-0.094
'0:08.338',-0.044,-0.100,-0.056,0.072,0.006,-0.078,0.019,-0.178,-0.241,-0.191,-0.131,-0.094
'0:08.339',-0.044,-0.100,-0.056,0.072,0.006,-0.078,0.019,-0.181,-0.238,-0.194,-0.131,-0.094
'0:08.340',-0.046,-0.097,-0.051,0.071,0.003,-0.074,0.019,-0.178,-0.238,-0.194,-0.134,-0.094
'0:08.341',-0.044,-0.100,-0.056,0.072,0.006,-0.078,0.019,-0.175,-0.231,-0.188,-0.131,-0.094
'0:08.342',-0.044,-0.103,-0.059,0.074,0.008,-0.081,0.016,-0.175,-0.228,-0.184,-0.128,-0.091
'0:08.343',-0.044,-0.106,-0.062,0.075,0.009,-0.084,0.012,-0.169,-0.225,-0.181,-0.125,-0.088
'0:08.344',-0.047,-0.104,-0.057,0.076,0.005,-0.081,0.016,-0.169,-0.222,-0.181,-0.119,-0.084
'0:08.345',-0.050,-0.106,-0.056,0.078,0.003,-0.081,0.019,-0.169,-0.219,-0.175,-0.112,-0.081
'0:08.346',-0.049,-0.106,-0.057,0.077,0.004,-0.082,0.019,-0.169,-0.219,-0.172,-0.112,-0.084
'0:08.347',-0.047,-0.106,-0.059,0.077,0.006,-0.083,0.019,-0.169,-0.219,-0.175,-0.112,-0.088
'0:08.348',-0.046,-0.106,-0.061,0.076,0.008,-0.084,0.019,-0.169,-0.222,-0.178,-0.116,-0.088
'0:08.349',-0.044,-0.106,-0.062,0.075,0.009,-0.084,0.019,-0.163,-0.219,-0.175,-0.119,-0.088
